"id","varname","month","coef","significant","ci_lower","ci_upper","tree.uniqueID"
9,"spei1","FEB",0.0955561629442641,FALSE,-0.0532772332225255,0.25708887860153,"ppPJ1_1"
10,"spei1","MAR",0.135575916183926,FALSE,-0.0158859243762686,0.308769656819156,"ppPJ1_1"
11,"spei1","APR",-0.0506549501780796,FALSE,-0.192678030247919,0.110631064733453,"ppPJ1_1"
12,"spei1","MAY",0.0231840351603595,FALSE,-0.15706426723442,0.191379403554161,"ppPJ1_1"
13,"spei1","JUN",0.0563940227629529,FALSE,-0.158787237233123,0.240505601317055,"ppPJ1_1"
14,"spei1","JUL",0.0822823538320755,FALSE,-0.08143313192508,0.273391732319085,"ppPJ1_1"
15,"spei1","AUG",0.0721189241561029,FALSE,-0.0746845795474921,0.218637415742705,"ppPJ1_1"
16,"spei1","SEP",0.162996220842575,FALSE,-0.0403460598630988,0.321565707748097,"ppPJ1_1"
1,"spei1","Jun",0.300821373080716,TRUE,0.0952381170309865,0.494479340097545,"ppPJ2_1"
2,"spei1","Jul",-0.021346736612417,FALSE,-0.185680013667397,0.122659439594744,"ppPJ2_1"
3,"spei1","Aug",0.128172310887811,FALSE,-0.0876319013765839,0.323508425013031,"ppPJ2_1"
4,"spei1","Sep",0.0512306325315974,FALSE,-0.184901874220163,0.25343395501056,"ppPJ2_1"
5,"spei1","Oct",0.0793968444746381,FALSE,-0.0672370613161158,0.230460492215122,"ppPJ2_1"
6,"spei1","Nov",0.0369129402601905,FALSE,-0.113953379447931,0.214078942985887,"ppPJ2_1"
7,"spei1","Dec",0.0027842681005894,FALSE,-0.133124309781538,0.149200847760981,"ppPJ2_1"
8,"spei1","JAN",0.120224179038176,FALSE,-0.0659447852490403,0.297205726820893,"ppPJ2_1"
9,"spei1","FEB",0.0899929554302426,FALSE,-0.0554573164551037,0.229149073805691,"ppPJ2_1"
10,"spei1","MAR",0.0891963372493237,FALSE,-0.0630092288873087,0.222382577481062,"ppPJ2_1"
11,"spei1","APR",0.0164737951359617,FALSE,-0.185233557161259,0.210655587630106,"ppPJ2_1"
12,"spei1","MAY",-0.0556466958888529,FALSE,-0.292420967552468,0.210192346594482,"ppPJ2_1"
13,"spei1","JUN",0.298140000924854,TRUE,0.089943761287567,0.504753260874934,"ppPJ2_1"
14,"spei1","JUL",0.131217511977876,FALSE,-0.0733481317555701,0.311622280377452,"ppPJ2_1"
15,"spei1","AUG",0.0514172863528538,FALSE,-0.237545725640178,0.283981038634959,"ppPJ2_1"
16,"spei1","SEP",0.137573277359913,FALSE,-0.113472322187676,0.338392537097719,"ppPJ2_1"
1,"spei1","Jun",0.169231274829834,FALSE,-0.00109649596281861,0.334236310920173,"ppPJ2_3"
2,"spei1","Jul",0.0135823727317502,FALSE,-0.152608095522792,0.174077661547049,"ppPJ2_3"
3,"spei1","Aug",0.0467161181604421,FALSE,-0.107238956693149,0.220487541398408,"ppPJ2_3"
4,"spei1","Sep",-0.0354346003258182,FALSE,-0.222448046338974,0.14564094021105,"ppPJ2_3"
5,"spei1","Oct",0.0707364077469582,FALSE,-0.118573009515484,0.247225279820441,"ppPJ2_3"
6,"spei1","Nov",0.158639328607878,FALSE,-0.00859771376454518,0.298132806498686,"ppPJ2_3"
7,"spei1","Dec",0.0935875763020589,FALSE,-0.0570745087471859,0.250322634681019,"ppPJ2_3"
8,"spei1","JAN",0.191238178029702,TRUE,0.0206192303010341,0.341244069200042,"ppPJ2_3"
9,"spei1","FEB",0.068498601495538,FALSE,-0.0975045156949054,0.220926450069663,"ppPJ2_3"
