"Region","hilo","Species","Neighborhood","tree.uniqueID","hegyi","DBH","drought_fx","post1_fx","spei12","legacy_mean","scaled_leg","scaled_dfx","scaled_spei","rel_dfx","rel_leg","Region1"
"Mammoth","high","AC",1,"10ac1_4",1.2409604983801,120.8,0.298036362858181,0.250962620811412,-1.53461208336952,0.216354836821506,0.813588647679451,0.800768198329157,0.158870866658032,5.04037156197305,1.01601018793834,"lat4"
"Mammoth","high","AC",1,"10ac1_5",8.09634509299352,22.8,0.331602011208554,0.256728745797006,-1.53422525585711,0.15343735866823,0.717321152077364,0.845329647362594,0.157605242471418,5.36358838136933,0.848569731719912,"lat4"
"Mammoth","high","AC",1,"10ac1_6",15.2221994281785,10.2,0.351465852180761,0.213633373440478,-1.56175658169912,0.100909414753784,0.636950263761534,0.871700701717082,0.247682371832313,3.5194297247252,0.73069834922338,"lat4"
"Mammoth","high","AC",1,"10ac1_7",7.88853505723957,22.8,0.346745331131865,0.351383854573324,-1.53794853361047,0.243451593148028,0.855048301611217,0.865433780967157,0.169787081216133,5.09717096712139,0.987999683413868,"lat4"
"Mammoth","high","AC",2,"10ac2_1",14.7536656869243,25.3,0.216822771456351,0.233299525453504,-1.57881340095384,0.150040027909184,0.712123033311248,0.692949774078913,0.303488958238971,2.28327837065254,1.0276690460832,"lat4"
"Mammoth","high","AC",2,"10ac2_2",15.3023630966882,25.1,0.448106541008736,0.278651418922062,-1.55700144592233,0.135150507272858,0.689341178341109,1,0.232124494854185,4.30803306918633,0.689341178341109,"lat4"
"Mammoth","high","AC",2,"10ac2_3",6.66181438325155,43.6,0.374135751641709,0.21006707562162,-1.55700144592233,0.0858000335431906,0.61383200899459,0.901797053763591,0.232124494854185,3.88497152930836,0.68067644092737,"lat4"
"Mammoth","high","AC",2,"10ac2_4",1.4369377714778,102.8,0.374308330675044,0.313007252944861,-1.5548070787809,0.231927003162858,0.837414991308945,0.902026168116394,0.224944953483803,4.00998623950612,0.928371061626328,"lat4"
"Mammoth","high","AC",2,"10ac2_5",8.47755257512702,21.5,0.319730058699235,0.228254281928135,-1.55700144592233,0.114133305589121,0.657183605754867,0.829568551341176,0.232124494854185,3.57380875233478,0.792199275987969,"lat4"
"Mammoth","high","AC",3,"10ac3_1",26.7594061063306,11,0.140914684276617,0.279786680258639,-1.50527532431564,0.15051026007303,0.712842516578754,0.592174888911298,0.0628867118995773,9.41653444780086,1.20377025423908,"lat4"
