"event","spei12","spei_post","tree.uniqueID","Year","year_post","pred_mean","pred_50","pred_025","pred_975","Site","Species","Neighborhood","Region","hilo","hegyi","DBH","reduction","post1","post2","drought_fx","legacy_mean","legacy_50","legacy_025","legacy_975","scaled_leg","scaled_dfx","scaled_spei","Region1","rel_dfx","rel_leg"
"post1",-2.25825083238519,-0.454401573613913,NA,2007,2008,0.972601033021463,0.972660181572969,0.959780445153631,0.985139691853971,NA,NA,1,NA,NA,2.2353978681411,41.875,NA,1.14573427070911,0.886197904597716,0.187715450489296,-0.173133237687651,-0.173074089136144,-0.185953825555483,-0.160594578855143,0.581923830795255,0.759725901556513,0.934205553071446,NA,0.813232054828527,0.76691757955449
"post1",-2.25825058222041,-0.454401293017552,NA,2007,2008,0.971971717194335,0.971969011181195,0.959188019410111,0.984751928778477,NA,NA,2,NA,NA,2.94268397578899,37.69,NA,1.01663532471731,0.822926027751371,0.367592925511473,-0.0446636075229715,-0.0446663135361111,-0.0574473053071956,-0.0318833959388294,0.629526680803847,0.818670055616493,0.934205344954943,NA,0.876327736763247,0.771357371742965
"post1",-2.2101721592132,0.00496893391418857,NA,2015,2016,0.994385922275079,0.99454157558273,0.984038959364668,1.00386689259562,NA,NA,3,NA,NA,2.55879698424734,66.44,NA,0.976278672665086,NA,0.150489005124566,0.0181072496099934,0.0182629029176443,0.00776028669958231,0.02758821993053,0.652785654097232,0.747527146095811,0.894208054825615,NA,0.835965569826577,0.866208552046527
"post1",-2.21017206211418,0.00496872194378678,NA,2015,2016,0.994166683346149,0.994334173410018,0.983564348212574,1.00400526510706,NA,NA,1,NA,NA,3.17989544657,67.12,NA,0.904840185971663,1.04170388399608,0.220336970933941,0.0893264973744857,0.089493987438355,0.078724162240911,0.0991650791353944,0.679175075197862,0.770415666500805,0.894207974047224,NA,0.861562062585811,0.881562109235867
"post1",-2.21017190375566,0.0049683762414885,NA,2015,2016,0.995128576137561,0.995135242662012,0.985023935706843,1.00525576233933,NA,NA,2,NA,NA,2.83315618645059,73.8666666666667,NA,0.718817470305044,0.837510679467881,0.392460235458924,0.276311105832517,0.276317772356969,0.2662064654018,0.286438292034285,0.748459934654009,0.82681883882806,0.894207842305971,NA,0.924638321998911,0.902159901582322
"post1",-2.20443035563957,-0.0756793580601331,NA,2002,2003,0.990787136881992,0.990808097181139,0.980447181045663,1.00082939989014,NA,NA,3,NA,NA,3.93284976823364,48.98,NA,1.02124365748043,0.708595012177291,0.534551525336487,-0.0304565205984426,-0.0304355602992948,-0.0407964764347712,-0.0204142575902937,0.634790943081714,0.873380815974403,0.889431346917254,NA,0.98195416543561,0.727105236132011
"post1",-2.20442954184766,-0.0756786730808449,NA,2002,2003,0.991075483863579,0.991129144794074,0.980757073439564,1.00122828697702,NA,NA,1,NA,NA,2.2353978681411,41.875,NA,0.956409713319658,0.86617439128234,0.322983291859075,0.0346657705439207,0.0347194314744155,0.0243473601199057,0.0448185736573597,0.658921211484387,0.804051898905977,0.889430669909376,NA,0.904007390466872,0.822638011726647
"post1",-2.20442936284484,-0.0756785224117951,NA,2002,2003,0.990987109209492,0.990990670504541,0.980541910974857,1.00134857244681,NA,NA,2,NA,NA,2.94268397578899,37.69,NA,1.05260195240644,0.827251957962647,0.209937755879302,-0.0616148431969475,-0.0616112819018983,-0.0720600414315823,-0.0512533799596323,0.623245607773481,0.767007941691415,0.889430520993765,NA,0.862358468241492,0.810251446799665
"post1",-2.14811666599655,0.36644159887237,NA,1924,1925,1.013595737451,1.01356378087841,1.00197036263052,1.02466488883193,NA,NA,2,NA,NA,2.20902444301185,85.8142857142857,NA,0.783427449246235,1.04362285932926,0.445894828800646,0.230168288204764,0.230136331632175,0.218542913384291,0.241237439585698,0.731362278004013,0.844328851694755,0.842582992873549,NA,1.00207203187813,0.864024515560989
"post1",-2.1481164401819,0.366441667579075,NA,1924,1925,1.02153105195112,1.02174417770462,1.00811663535373,1.0340698277575,NA,NA,1,NA,NA,1.13300929441008,98.5,NA,0.875086670285923,0.941280956243887,0.120080804462227,0.1464443816652,0.146657507418699,0.133029965067807,0.158983157471576,0.700339408552085,0.737562665193982,0.84258280501435,NA,0.875359265350093,0.950469216566997
